date,EEM_Open,GC=F_Open,SPY_Open,TLT_Open,EEM_High,GC=F_High,SPY_High,TLT_High,EEM_Low,GC=F_Low,SPY_Low,TLT_Low,EEM_Close,GC=F_Close,SPY_Close,TLT_Close,EEM_Volume,GC=F_Volume,SPY_Volume,TLT_Volume
2004-03-22,12.405423320579155,417.3999938964844,74.05234682710322,44.38042514130138,12.405423320579155,417.3999938964844,74.0724434436265,44.57149124145508,12.05329873770363,417.3999938964844,73.08766834565125,44.38042514130138,12.123431205749512,417.3999938964844,73.45612335205078,44.57149124145508,3333600.0,2.0,62752100.0,947200.0
2004-03-23,12.19941047491066,417.3999938964844,73.85808292746269,44.52737674585073,12.257855047965563,417.3999938964844,73.95857113732764,44.64985275268555,12.19941047491066,417.3999938964844,73.26185935625139,44.45879048103693,12.245434761047363,419.79998779296875,73.32884979248047,44.64985275268555,1305000.0,2.0,54080200.0,562200.0
2004-03-24,12.292922534804356,417.20001220703125,73.40927204319722,44.65968599459424,12.312647768317687,417.20001220703125,73.78442273160215,44.69397915239351,12.240323166170013,417.20001220703125,72.92023194348809,44.5421062498477,12.254934310913086,417.20001220703125,73.38917541503906,44.625389099121094,889200.0,2.0,51584300.0,327400.0
2004-03-25,12.286346730874643,416.0,73.74419164753976,44.444125828732076,12.379126428552427,417.0,74.56148818036361,44.551905390061854,12.273197830044024,416.0,73.5499158232585,44.40983267173385,12.374743461608887,416.70001220703125,74.36051177978516,44.453922271728516,1724400.0,8.0,49873600.0,514000.0
2004-03-26,12.375474591442785,422.0,74.33373666723776,44.32656272681227,12.407618860443248,422.0,74.88976711110946,44.38534887724973,12.349905400562227,422.0,74.2265529698535,43.895444356004866,12.352097511291504,422.1000061035156,74.38063049316406,43.98362731933594,1903500.0,8.0,37409500.0,1378600.0
2004-03-29,12.528886918938944,422.1000061035156,74.7825949250629,43.625995769516386,12.543498061022873,422.1000061035156,75.52620083792564,43.71417872609131,12.50477872261061,422.1000061035156,74.74910224826732,43.552509349424845,12.510623931884766,417.1000061035156,75.42571258544922,43.68968200683594,1031400.0,64296.0,44113600.0,2454000.0
2004-03-30,12.599754230752728,416.5,75.23141052639653,43.74843832103863,12.673539830275097,424.3999938964844,75.74724251200901,43.812124509489976,12.583682095132646,416.5,75.17781613252848,43.635758731670535,12.664041519165039,421.70001220703125,75.68025207519531,43.660255432128906,2089800.0,36663.0,39059900.0,1021000.0
2004-03-31,12.777274431748642,421.0,75.69366584149626,43.72394173144907,12.821107864379883,428.0,75.9683333411002,43.91010394732087,12.749514386409897,420.6000061035156,75.28501743689384,43.704345118567026,12.821107864379883,427.29998779296875,75.7673568725586,43.870914459228516,1773900.0,4496.0,48517600.0,1647300.0
2004-04-01,12.849600410136931,427.20001220703125,75.747261525501,43.76177146879711,12.933612930777326,432.0,76.283195376622,43.80111388102245,12.848139420965895,424.5,75.73386547919277,43.55029052502673,12.925578117370605,427.79998779296875,76.222900390625,43.72734451293945,1648800.0,1561.0,45103800.0,1309200.0
2004-04-02,13.073145992023187,426.6000061035156,76.91290312933714,42.85191699715546,13.084104036109732,429.0,76.93299975206271,42.85191699715546,13.027851572668888,417.5,76.30328342547331,42.497812709472505,13.054883003234863,421.6000061035156,76.79901885986328,42.645355224609375,4001400.0,1455.0,50987700.0,2603700.0
