date,EEM_Open,GLD_Open,SPY_Open,TLT_Open,EEM_High,GLD_High,SPY_High,TLT_High,EEM_Low,GLD_Low,SPY_Low,TLT_Low,EEM_Close,GLD_Close,SPY_Close,TLT_Close,EEM_Volume,GLD_Volume,SPY_Volume,TLT_Volume
2006-01-17,20.96941148661594,55.25,88.76024037734379,49.24730577727715,21.086057011150753,55.869998931884766,88.91255989136688,49.514954178240615,20.75182104118324,55.029998779296875,88.49022134149163,49.20983516450188,20.81687355041504,55.2599983215332,88.85025024414062,49.48283767700195,16205700,5130400,52066600,454300
2006-01-18,20.469176828080236,54.63999938964844,88.3309746494423,49.654123200945385,21.016515821819784,54.72999954223633,89.24488109242334,49.659473227490615,20.466933151514745,54.0099983215332,88.04018575556026,49.31153363852319,20.80565643310547,54.06999969482422,88.49713897705078,49.46677017211914,16159200,4565200,75067600,622100
2006-01-19,21.086051699300636,54.959999084472656,88.71182168820424,49.28478356267967,21.507772990000184,55.709999084472656,89.15493032452233,49.48284487845393,21.086051699300636,54.95000076293945,88.4902620877736,49.225900579178976,21.478612899780273,55.59000015258789,88.83644104003906,49.3222541809082,13730700,5290700,81530400,490600
2006-01-20,21.50777386161685,56.119998931884766,88.81561449575237,49.41860142424492,21.613206113915947,56.599998474121094,88.83638437447647,49.504250874313605,20.83930206298828,55.02000045776367,87.21627044677734,49.27407308224222,20.83930206298828,55.20000076293945,87.21627044677734,49.45071792602539,17342400,7270600,114957800,842600
2006-01-23,21.090542097145217,55.59000015258789,87.38245282663931,49.14023588864426,21.44496726989746,55.900001525878906,87.8047913889159,49.514941923659954,21.041191480424608,55.2599983215332,87.32706295041008,49.102765285142695,21.44496726989746,55.77000045776367,87.52784729003906,49.43464660644531,13689900,4968500,67017400,720400
2006-01-24,21.402348470245286,55.5,87.6732205791189,49.247326951595355,21.78369138129047,55.72999954223633,88.03324940538756,49.34903469456856,21.402348470245286,55.27000045776367,87.52782615083396,49.11885680741337,21.781450271606445,55.72999954223633,87.61783599853516,49.19379806518555,10876500,3419100,53008800,300500
2006-01-25,21.992305887860475,56.220001220703125,87.95712479193449,48.98502066435969,22.059600778027352,56.529998779296875,88.05405444950188,49.01713717161483,21.70293323929898,55.7400016784668,87.1262923641524,48.59960624133299,21.792659759521484,56.13999938964844,87.69403076171875,48.65848922729492,7494300,10005200,87747700,1204500
2006-01-26,21.920531186069443,55.529998779296875,88.10251302466314,48.471138471938815,22.308605194091797,55.90999984741211,88.39330197672474,48.497900867948324,21.9138001544558,55.27000045776367,87.76325924725793,48.203490007894956,22.308605194091797,55.880001068115234,88.17867279052734,48.44972610473633,7874700,4306500,71294000,764100
2006-01-27,22.43197094275627,55.959999084472656,88.3863609411246,48.604962703960744,22.743775213841083,56.22999954223633,89.07871844077708,48.604962703960744,22.346731777458224,55.470001220703125,88.24096121780127,48.262372996703924,22.564319610595703,55.630001068115234,88.9956283569336,48.44972610473633,11523600,4285400,65771200,1091400
2006-01-30,22.364678939299967,55.970001220703125,88.92642211914062,48.337279174976125,22.532918749491724,56.70000076293945,89.18259108011559,48.44433684933506,22.364678939299967,55.95000076293945,88.86411246342344,48.30515860547765,22.458892822265625,56.68000030517578,88.92642211914062,48.401512145996094,8699400,3969200,33709600,308500
2006-01-31,22.499269762020297,56.56999969482422,88.84333493847254,48.36406362142116,22.631618437880835,57.04999923706055,88.99564389561522,48.567479013111054,22.3220552572777,56.529998779296875,88.26867156341152,48.28376828701675,22.606943130493164,56.70000076293945,88.27559661865234,48.53535842895508,10566900,5011700,72937000,676100
