date,AGG_Open,DBC_Open,EEM_Open,GLD_Open,SPY_Open,AGG_High,DBC_High,EEM_High,GLD_High,SPY_High,AGG_Low,DBC_Low,EEM_Low,GLD_Low,SPY_Low,AGG_Close,DBC_Close,EEM_Close,GLD_Close,SPY_Close,AGG_Volume,DBC_Volume,EEM_Volume,GLD_Volume,SPY_Volume
2006-01-17,54.40098327645907,,20.969413407940877,55.25,88.76024037734379,54.44404872025227,,21.086058943163355,55.869998931884766,88.91255989136688,54.261009288950405,,20.75182294257143,55.029998779296875,88.49022134149163,54.41713333129883,,20.816875457763672,55.2599983215332,88.85025024414062,253000.0,,16205700.0,5130400.0,52066600.0
2006-01-18,54.5624590507057,,20.46917119857416,54.63999938964844,88.3309898795811,54.5624590507057,,21.01651004178258,54.72999954223633,89.24489648013905,54.37403499841607,,20.46692752262573,54.0099983215332,88.04020093556086,54.48170471191406,,20.80565071105957,54.06999969482422,88.49715423583984,142600.0,,16159200.0,4565200.0,75067600.0
2006-01-19,54.39559336816636,,21.086051699300636,54.959999084472656,88.71181406951219,54.433278194978044,,21.507772990000184,55.709999084472656,89.1549226677755,54.27176944730622,,21.086051699300636,54.95000076293945,88.49025448810937,54.400978088378906,,21.478612899780273,55.59000015258789,88.83643341064453,156500.0,,13730700.0,5290700.0,81530400.0
2006-01-20,54.42252512924151,,21.507775830148375,56.119998931884766,88.81564557295206,54.47636413288995,,21.613208092097317,56.599998474121094,88.83641545894369,54.26640516214681,,20.839303970336914,55.02000045776367,87.21630096435547,54.42790985107422,,20.839303970336914,55.20000076293945,87.21630096435547,134100.0,,17342400.0,7270600.0,114957800.0
2006-01-23,54.38484029109119,,21.09054022131971,55.59000015258789,87.38244520991815,54.481744747383345,,21.444965362548828,55.900001525878906,87.80478373538146,54.320240058455944,,21.04118960898842,55.2599983215332,87.32705533851698,54.42790985107422,,21.444965362548828,55.77000045776367,87.52783966064453,221900.0,,13689900.0,4968500.0,67017400.0
2006-01-24,54.42790736455576,,21.402348470245286,55.5,87.67327401863922,54.44405742197676,,21.78369138129047,55.72999954223633,88.0333030643565,54.26640268300663,,21.402348470245286,55.27000045776367,87.5278795017319,54.336387634277344,,21.781450271606445,55.72999954223633,87.61788940429688,209400.0,,10876500.0,3419100.0,53008800.0
2006-01-25,54.33639059567793,,21.992305887860475,56.220001220703125,87.95711713965073,54.33639059567793,,22.059600778027352,56.529998779296875,88.05404678878521,54.051061946118516,,21.70293323929898,55.7400016784668,87.1262847841512,54.20180130004883,,21.792659759521484,56.13999938964844,87.69402313232422,162600.0,,7494300.0,10005200.0,87747700.0
2006-01-26,54.13177452999624,,21.92052368939364,55.529998779296875,88.10248253344301,54.15868990392725,,22.308597564697266,55.90999984741211,88.39327138486605,53.92181571958807,,21.913792660081963,55.27000045776367,87.76322887344945,54.03487014770508,,22.308597564697266,55.880001068115234,88.17864227294922,183800.0,,7874700.0,4306500.0,71294000.0
2006-01-27,54.15333908382081,,22.43197094275627,55.959999084472656,88.38637609545142,54.15333908382081,,22.743775213841083,56.22999954223633,89.0787337138124,53.97029964010514,,22.346731777458224,55.470001220703125,88.24097634719851,54.104888916015625,,22.564319610595703,55.630001068115234,88.99564361572266,164400.0,,11523600.0,4285400.0,65771200.0
2006-01-30,54.10486003275986,,22.364675140605158,55.970001220703125,88.92642211914062,54.1263947982901,,22.532914922220975,56.70000076293945,89.18259108011559,53.98103615779512,,22.364675140605158,55.95000076293945,88.86411246342344,54.11024475097656,,22.45888900756836,56.68000030517578,88.92642211914062,130800.0,,8699400.0,3969200.0,33709600.0
